fw,gl,gt,il,iw,mt,pl,pw,sl,sw,tt,freq,s11,gain
1,30,2,2,0.7,3,29,32,35,40,0.5,15.738,-6.263724303,7.946052573
1,30,2,2,0.7,3,29,31.5,35,40,0.5,12.264,-7.099933082,6.848113355
1,30,2,2,0.7,3,29,31,35,40,0.5,12.432,-6.926765396,7.43683255
1,30,2,2,0.7,3,29,30.5,35,40,0.5,12.396,-7.461980793,7.488351196
1,30,2,2,0.7,3,29,30,35,40,0.5,12.45,-7.720445964,8.022346125
1,30,2,2,0.7,3,28.5,33.5,35,40,0.5,15.51,-7.404940476,7.634510567
1,30,2,2,0.7,3,28.5,33,35,40,0.5,18,-7.452943658,7.978559769
1,30,2,2,0.7,3,28.5,32.5,35,40,0.5,18,-7.548415084,8.096756142
1,30,2,2,0.7,3,28.5,32,35,40,0.5,18,-7.628881767,7.837074469
1,30,2,2,0.7,3,28.5,31.5,35,40,0.5,18,-7.477734132,8.200703218
1,30,2,2,0.7,3,28.5,31,35,40,0.5,18,-7.561355631,7.690369354
1,30,2,2,0.7,3,28.5,30.5,35,40,0.5,18,-7.126375387,8.208222253
1,30,2,2,0.7,3,28.5,30,35,40,0.5,16.194,-6.884858035,7.987517645
1,30,2,2,0.7,3,28,33.5,35,40,0.5,18,-9.394279337,7.686367917
1,30,2,2,0.7,3,28,33,35,40,0.5,18,-9.618064073,8.159745389
1,30,2,2,0.7,3,28,32.5,35,40,0.5,18,-9.794595302,8.229439234
1,30,2,2,0.7,3,28,32,35,40,0.5,18,-9.235039439,8.473697168
1,30,2,2,0.7,3,28,31.5,35,40,0.5,18,-9.42733348,8.284635938
1,30,2,2,0.7,3,28,31,35,40,0.5,18,-9.159612071,8.229942607
1,30,2,2,0.7,3,28,30.5,35,40,0.5,18,-9.186011756,8.358894877
1,30,2,2,0.7,3,28,30,35,40,0.5,18,-9.044009611,8.461830497
1,30,2,2,0.7,3,27.5,33.5,35,40,0.5,18,-12.13525696,8.15906515
1,30,2,2,0.7,3,27.5,33,35,40,0.5,18,-12.4628025,8.14399155
1,30,2,2,0.7,3,27.5,32.5,35,40,0.5,18,-12.07517478,8.281613465
1,30,2,2,0.7,3,27.5,32,35,40,0.5,18,-11.83467701,7.985197506
1,30,2,2,0.7,3,27.5,31.5,35,40,0.5,18,-11.83138105,7.982418135
1,30,2,2,0.7,3,27.5,31,35,40,0.5,18,-11.9955141,8.164126591
1,30,2,2,0.7,3,27.5,30.5,35,40,0.5,18,-12.19003267,8.123307156
1,30,2,2,0.7,3,27.5,30,35,40,0.5,18,-12.22504101,7.839211774
1,30,2,2,0.7,3,27,33.5,35,40,0.5,18,-15.25747729,7.798485698
1,30,2,2,0.7,3,27,33,35,40,0.5,18,-14.91775328,7.939949166
1,30,2,2,0.7,3,27,32.5,35,40,0.5,16.056,-15.35018422,8.179603963
1,30,2,2,0.7,3,27,32,35,40,0.5,16.11,-15.57184654,7.726918228
1,30,2,2,0.7,3,27,31.5,35,40,0.5,16.182,-15.72727667,7.86906597
1,30,2,2,0.7,3,27,31,35,40,0.5,18,-15.90094815,8.014331906
1,30,2,2,0.7,3,27,30.5,35,40,0.5,18,-16.77654941,8.015262546
1,30,2,2,0.7,3,27,30,35,40,0.5,16.506,-17.52650534,8.02337188
1,30,2,2,0.55,3,30.5,33.5,35,40,0.5,12,-8.190794749,7.680042825
1,30,2,2,0.55,3,30.5,33,35,40,0.5,12,-9.692180685,7.766897165
1,30,2,2,0.55,3,30.5,32.5,35,40,0.5,12,-10.79612337,7.852213102
1,30,2,2,0.55,3,30.5,32,35,40,0.5,12.03,-11.93204481,7.829444609
1,30,2,2,0.55,3,30.5,31.5,35,40,0.5,12.18,-12.1402544,7.621650167
1,30,2,2,0.55,3,30.5,31,35,40,0.5,12.264,-11.94397502,7.690137916
1,30,2,2,0.55,3,30.5,30.5,35,40,0.5,12.3,-12.38717196,7.762262821
1,30,2,2,0.55,3,30.5,30,35,40,0.5,12.372,-12.44600585,7.747638567
1,30,2,2,0.55,3,30,33.5,35,40,0.5,12,-7.781365218,7.698461335
1,30,2,2,0.55,3,30,33,35,40,0.5,12.06,-8.419409184,7.507858326
1,30,2,2,0.55,3,30,32.5,35,40,0.5,12.276,-8.064869073,7.147197949
1,30,2,2,0.55,3,30,32,35,40,0.5,12.15,-9.748227814,7.392985022
1,30,2,2,0.55,3,30,31.5,35,40,0.5,12.144,-10.69044047,7.546492216
1,30,2,2,0.55,3,30,31,35,40,0.5,12.318,-10.18942921,7.411147574
1,30,2,2,0.55,3,30,30.5,35,40,0.5,12.372,-10.53614537,7.663742592
1,30,2,2,0.55,3,30,30,35,40,0.5,12.432,-10.73295929,7.710916011
1,30,2,2,0.55,3,29.5,33.5,35,40,0.5,12.906,-6.809502275,6.093303986
1,30,2,2,0.55,3,29.5,33,35,40,0.5,12.168,-7.161961294,7.049581929
1,30,2,2,0.55,3,29.5,32.5,35,40,0.5,12.126,-8.20319798,7.369815058
1,30,2,2,0.55,3,29.5,32,35,40,0.5,12.204,-8.412598261,6.99550152
1,30,2,2,0.55,3,29.5,31.5,35,40,0.5,12.198,-9.050902561,7.254926204
1,30,2,2,0.55,3,29.5,31,35,40,0.5,12.39,-8.690211446,7.2912686
1,30,2,2,0.55,3,29.5,30.5,35,40,0.5,12.324,-9.507691165,7.510198489
1,30,2,2,0.55,3,29.5,30,35,40,0.5,12.492,-9.279672065,7.926761836
1,30,2,2,0.55,3,29,33.5,35,40,0.5,15.456,-6.90928641,7.147894395
1,30,2,2,0.55,3,29,33,35,40,0.5,15.408,-7.345169826,6.248954268
1,30,2,2,0.55,3,29,32.5,35,40,0.5,15.618,-6.921623126,7.370948087
1,30,2,2,0.55,3,29,32,35,40,0.5,12.228,-7.223084158,6.791610713
1,30,2,2,0.55,3,29,31.5,35,40,0.5,12.288,-7.572855503,6.852136214
1,30,2,2,0.55,3,29,31,35,40,0.5,12.462,-7.410650418,7.396079402
1,30,2,2,0.55,3,29,30.5,35,40,0.5,12.51,-7.717130656,7.949993575
1,30,2,2,0.55,3,29,30,35,40,0.5,12.546,-8.1005157,8.155428492
1,30,2,2,0.55,3,28.5,33.5,35,40,0.5,15.54,-7.836723455,7.451964308
1,30,2,2,0.55,3,28.5,33,35,40,0.5,15.51,-7.993495829,6.840761617
1,30,2,2,0.55,3,28.5,32.5,35,40,0.5,13.11,-8.525384404,5.651517539
1,30,2,2,0.55,3,28.5,32,35,40,0.5,15.822,-7.472349978,7.791088086
1,30,2,2,0.55,3,28.5,31.5,35,40,0.5,15.888,-7.314483363,8.007809347
1,30,2,2,0.55,3,28.5,31,35,40,0.5,16.014,-7.11738003,8.015216562
1,30,2,2,0.55,3,28.5,30.5,35,40,0.5,12.462,-7.146964433,7.680296073
1,30,2,2,0.55,3,28.5,30,35,40,0.5,12.492,-7.523437369,7.913020102
1,30,2,2,0.55,3,28,33.5,35,40,0.5,15.594,-9.116363673,7.5405449
1,30,2,2,0.55,3,28,33,35,40,0.5,15.666,-9.2508498,7.746547424
1,30,2,2,0.55,3,28,32.5,35,40,0.5,15.816,-8.826517134,8.056173056
1,30,2,2,0.55,3,28,32,35,40,0.5,15.858,-8.912089396,7.842985945
1,30,2,2,0.55,3,28,31.5,35,40,0.5,15.942,-8.748487775,7.632503425
1,30,2,2,0.55,3,28,31,35,40,0.5,16.038,-8.568101126,8.131546045
1,30,2,2,0.55,3,28,30.5,35,40,0.5,16.152,-8.374217579,7.825461761
1,30,2,2,0.55,3,28,30,35,40,0.5,16.332,-8.109535522,8.134628187
1,30,2,2,0.55,3,27.5,33.5,35,40,0.5,18,-10.42384373,7.275547525
1,30,2,2,0.55,3,27.5,33,35,40,0.5,15.756,-11.00961474,7.729856585
1,30,2,2,0.55,3,27.5,32.5,35,40,0.5,15.822,-10.96487348,7.428487615
1,30,2,2,0.55,3,27.5,32,35,40,0.5,15.918,-11.008503,7.985602479
1,30,2,2,0.55,3,27.5,31.5,35,40,0.5,16.002,-10.92721499,7.515038497
1,30,2,2,0.55,3,27.5,31,35,40,0.5,16.098,-10.51269991,7.61844013
1,30,2,2,0.55,3,27.5,30.5,35,40,0.5,16.2,-10.72415533,7.560148154
1,30,2,2,0.55,3,27.5,30,35,40,0.5,16.368,-10.35994603,7.746633256
1,30,2,2,0.55,3,27,33.5,35,40,0.5,15.804,-13.62711145,7.462552475
1,30,2,2,0.55,3,27,33,35,40,0.5,15.888,-13.90277116,7.882583739
1,30,2,2,0.55,3,27,32.5,35,40,0.5,15.942,-13.97795508,7.653127517
