fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,2,3,1,0.9,28,32,30,40,1.5,12.582,-30.96042362,9.464543716
1,30,2,3,1,0.8,28,32,30,40,1.5,12.654,-29.01433401,9.271648344
1,30,2,3,1,0.7,28,32,30,40,1.5,12.72,-19.1468896,9.195646288
1,30,2,3,1,0.6,28,32,30,40,1.5,12.78,-12.89917005,9.181982725
1,30,2,3,1,0.5,28,32,30,40,1.5,12.882,-10.1884169,9.215034172
1,30,2,3,1,0.4,28,32,30,40,1.5,14.31,-12.58662753,8.40104294
1,30,2,3,1,0.3,28,32,30,40,1.5,14.406,-30.91645483,7.737839191
1,30,2,3,1,0.2,28,32,30,40,1.5,14.61,-13.95757169,6.460116386
1,30,2,3,1,0.1,28,32,30,40,1.5,15.714,-12.4272248,5.63680112
1,30,2,3,1,3,28,32,30,40,1.4,13.464,-10.94120014,7.343759716
1,30,2,3,1,2.9,28,32,30,40,1.4,13.476,-11.15621884,7.621784127
1,30,2,3,1,2.8,28,32,30,40,1.4,13.5,-11.08215334,7.942972611
1,30,2,3,1,2.7,28,32,30,40,1.4,13.512,-11.17716229,8.206578043
1,30,2,3,1,2.6,28,32,30,40,1.4,13.53,-11.14542072,8.354470672
1,30,2,3,1,2.5,28,32,30,40,1.4,13.542,-10.98735057,8.465465003
1,30,2,3,1,2.4,28,32,30,40,1.4,13.56,-11.19230633,8.55039403
1,30,2,3,1,2.3,28,32,30,40,1.4,13.572,-10.92781277,8.754280541
1,30,2,3,1,2.2,28,32,30,40,1.4,13.584,-11.05073,8.709324186
1,30,2,3,1,2.1,28,32,30,40,1.4,13.608,-10.61281348,8.777946708
1,30,2,3,1,2,28,32,30,40,1.4,13.62,-10.23444189,8.763802956
1,30,2,3,1,1.9,28,32,30,40,1.4,13.638,-10.36159354,8.735303669
1,30,2,3,1,1.8,28,32,30,40,1.4,13.65,-9.79903244,8.862864661
1,30,2,3,1,1.7,28,32,30,40,1.4,13.668,-9.494753878,8.79731339
1,30,2,3,1,1.6,28,32,30,40,1.4,13.71,-8.841337549,8.85662631
1,30,2,3,1,1.5,28,32,30,40,1.4,12.198,-9.685005833,9.627027175
1,30,2,3,1,1.4,28,32,30,40,1.4,12.276,-10.89099813,9.624024202
1,30,2,3,1,1.3,28,32,30,40,1.4,12.366,-12.07794289,9.76592483
1,30,2,3,1,1.2,28,32,30,40,1.4,12.42,-14.01216635,9.628808449
1,30,2,3,1,1.1,28,32,30,40,1.4,12.468,-16.69937114,9.51898534
1,30,2,3,1,1,28,32,30,40,1.4,12.528,-20.81160983,9.468632532
1,30,2,3,1,0.9,28,32,30,40,1.4,12.6,-29.99649134,9.382672205
1,30,2,3,1,0.8,28,32,30,40,1.4,12.66,-28.31974947,9.435304316
1,30,2,3,1,0.7,28,32,30,40,1.4,12.738,-18.67131927,9.076600574
1,30,2,3,1,0.6,28,32,30,40,1.4,12.798,-13.45678865,9.205804209
1,30,2,3,1,0.5,28,32,30,40,1.4,12.882,-10.11303032,9.181605648
1,30,2,3,1,0.4,28,32,30,40,1.4,14.316,-12.04133055,8.417022152
1,30,2,3,1,0.3,28,32,30,40,1.4,14.412,-30.19678291,7.616684036
1,30,2,3,1,0.2,28,32,30,40,1.4,14.622,-13.39384724,6.849280802
1,30,2,3,1,0.1,28,32,30,40,1.4,15.72,-12.59473422,5.731052773
1,30,2,3,1,3,28,32,30,40,1.3,13.47,-10.71511991,7.551934694
1,30,2,3,1,2.9,28,32,30,40,1.3,13.488,-10.9502181,7.773189829
1,30,2,3,1,2.8,28,32,30,40,1.3,13.506,-10.75703009,8.196675458
1,30,2,3,1,2.7,28,32,30,40,1.3,13.512,-10.6744174,8.322936355
1,30,2,3,1,2.6,28,32,30,40,1.3,12.57,-16.96959379,8.154633558
1,30,2,3,1,2.5,28,32,30,40,1.3,12.708,-11.93512588,8.387360391
1,30,2,3,1,2.4,28,32,30,40,1.3,13.566,-10.59258953,8.555116763
