fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,1.4,2,2,3,30,30.5,35,40,0.7,12.3,-7.057227086,7.677055772
1,30,1.4,2,2,2.5,30,30.5,35,40,0.7,12.576,-7.137825727,8.92046706
1,30,1.4,2,2,2,30,30.5,35,40,0.7,12.726,-7.450028919,9.423590902
1,30,1.4,2,2,1.5,30,30.5,35,40,0.7,12.948,-8.329172156,9.303323994
1,30,1.4,2,2,3,30,30.5,35,40,0.1,18,-6.787185392,8.616707187
1,30,1.4,2,2,2.5,30,30.5,35,40,0.1,16.68,-6.289317912,8.151639495
1,30,1.4,2,2,2,30,30.5,35,40,0.1,17.646,-6.516673693,7.03544633
1,30,1.4,2,2,1.5,30,30.5,35,40,0.1,18,-7.217554747,7.107308807
1,30,1,2,2,3,30,30.5,35,40,2,12.216,-11.76342804,7.385392135
1,30,1,2,2,2.5,30,30.5,35,40,2,12.51,-11.85115251,7.540539469
1,30,1,2,2,2,30,30.5,35,40,2,12.72,-12.00897067,8.785423766
1,30,1,2,2,1.5,30,30.5,35,40,2,12.978,-11.82131066,8.985080143
1,30,1,2,2,3,30,30.5,35,40,1.3,12.27,-9.377054283,7.51992584
1,30,1,2,2,2.5,30,30.5,35,40,1.3,12.546,-9.40289128,8.308999174
1,30,1,2,2,2,30,30.5,35,40,1.3,12.756,-10.04237575,9.232630849
1,30,1,2,2,1.5,30,30.5,35,40,1.3,12.996,-9.435756199,9.124431871
1,30,1,2,2,3,30,30.5,35,40,0.7,12.312,-7.099601997,7.581013832
1,30,1,2,2,2.5,30,30.5,35,40,0.7,12.588,-7.07943511,8.943822884
1,30,1,2,2,2,30,30.5,35,40,0.7,12.78,-7.349403329,9.354242638
1,30,1,2,2,1.5,30,30.5,35,40,0.7,12.966,-8.224302948,9.229764948
1,30,1,2,2,3,30,30.5,35,40,0.1,16.254,-6.829246355,8.257550463
1,30,1,2,2,2.5,30,30.5,35,40,0.1,16.704,-6.279256758,8.283466241
1,30,1,2,2,2,30,30.5,35,40,0.1,18,-6.173154184,7.305649234
1,30,1,2,2,1.5,30,30.5,35,40,0.1,18,-7.546873066,7.71039776
1,30,2,2,2,3,29.5,32,35,40,2,12.114,-9.917547678,7.336125326
1,30,2,2,2,2.5,29.5,32,35,40,2,12.294,-10.08380181,6.509414054
1,30,2,2,2,2,29.5,32,35,40,2,12.6,-8.674401773,7.521923977
1,30,2,2,2,1.5,29.5,32,35,40,2,16.536,-7.481655601,7.60434513
1,30,2,2,2,3,29.5,32,35,40,1.3,17.91,-7.731593378,7.880753808
1,30,2,2,2,2.5,29.5,32,35,40,1.3,16.032,-7.744035126,8.366280982
1,30,2,2,2,2,29.5,32,35,40,1.3,16.32,-7.472316988,8.65149267
1,30,2,2,2,1.5,29.5,32,35,40,1.3,17.388,-7.976515291,8.382621829
1,30,2,2,2,3,29.5,32,35,40,0.7,18,-7.87419626,8.603324503
1,30,2,2,2,2.5,29.5,32,35,40,0.7,16.182,-7.129980306,9.173174584
1,30,2,2,2,2,29.5,32,35,40,0.7,17.028,-7.756150881,9.135832262
1,30,2,2,2,1.5,29.5,32,35,40,0.7,17.442,-7.765568807,8.448071683
1,30,2,2,2,3,29.5,32,35,40,0.1,18,-8.676933575,8.454579196
1,30,2,2,2,2.5,29.5,32,35,40,0.1,16.758,-8.840758834,8.439900082
1,30,2,2,2,2,29.5,32,35,40,0.1,17.268,-10.05169543,7.578631613
1,30,2,2,2,1.5,29.5,32,35,40,0.1,18,-11.26605648,6.640356384
1,30,1.8,2,2,3,29.5,32,35,40,2,12.12,-9.844380975,7.272012211
1,30,1.8,2,2,2.5,29.5,32,35,40,2,12.294,-9.961133353,6.385720025
1,30,1.8,2,2,2,29.5,32,35,40,2,12.606,-8.633771939,7.526868988
1,30,1.8,2,2,1.5,29.5,32,35,40,2,16.494,-7.622778146,7.511480436
1,30,1.8,2,2,3,29.5,32,35,40,1.3,15.714,-7.757027629,7.876604811
1,30,1.8,2,2,2.5,29.5,32,35,40,1.3,18,-7.827534801,8.34131647
1,30,1.8,2,2,2,29.5,32,35,40,1.3,16.326,-7.524364485,8.688598386
1,30,1.8,2,2,1.5,29.5,32,35,40,1.3,17.388,-8.028269975,8.410649672
1,30,1.8,2,2,3,29.5,32,35,40,0.7,18,-7.777269539,8.577834192
1,30,1.8,2,2,2.5,29.5,32,35,40,0.7,16.182,-7.253826164,9.180443024
1,30,1.8,2,2,2,29.5,32,35,40,0.7,17.046,-7.768174755,9.138472072
1,30,1.8,2,2,1.5,29.5,32,35,40,0.7,17.604,-10.56195687,8.229078881
1,30,1.8,2,2,3,29.5,32,35,40,0.1,16.308,-8.731388418,8.348499327
1,30,1.8,2,2,2.5,29.5,32,35,40,0.1,16.746,-8.741668114,8.562289834
1,30,1.8,2,2,2,29.5,32,35,40,0.1,17.238,-10.23309033,7.547781768
1,30,1.8,2,2,1.5,29.5,32,35,40,0.1,17.784,-14.66363198,7.220058907
1,30,1.4,2,2,3,29.5,32,35,40,2,12.132,-10.08414937,7.189151646
1,30,1.4,2,2,2.5,29.5,32,35,40,2,12.312,-9.933238372,6.354717396
1,30,1.4,2,2,2,29.5,32,35,40,2,12.618,-8.634669432,7.595411233
1,30,1.4,2,2,1.5,29.5,32,35,40,2,16.524,-7.654772744,7.618181722
1,30,1.4,2,2,3,29.5,32,35,40,1.3,15.678,-7.836086825,7.84992855
1,30,1.4,2,2,2.5,29.5,32,35,40,1.3,16.032,-7.811542147,8.352713389
1,30,1.4,2,2,2,29.5,32,35,40,1.3,16.32,-7.660799463,8.651213484
1,30,1.4,2,2,1.5,29.5,32,35,40,1.3,17.388,-8.127639867,8.357274055
1,30,1.4,2,2,3,29.5,32,35,40,0.7,18,-7.813501154,8.61745625
1,30,1.4,2,2,2.5,29.5,32,35,40,0.7,16.17,-7.304235976,9.273802087
1,30,1.4,2,2,2,29.5,32,35,40,0.7,17.04,-7.88695482,9.205872368
1,30,1.4,2,2,1.5,29.5,32,35,40,0.7,17.61,-10.56433769,8.466763316
1,30,1.4,2,2,3,29.5,32,35,40,0.1,16.29,-8.984533712,8.418448274
1,30,1.4,2,2,2.5,29.5,32,35,40,0.1,16.74,-8.965517846,8.565690982
1,30,1.4,2,2,2,29.5,32,35,40,0.1,17.244,-10.04667973,7.654602436
1,30,1.4,2,2,1.5,29.5,32,35,40,0.1,17.772,-14.18477956,7.145557703
1,30,1,2,2,3,29.5,32,35,40,2,12.138,-10.02478454,7.164890487
1,30,1,2,2,2.5,29.5,32,35,40,2,12.324,-9.960115332,6.29314542
1,30,1,2,2,2,29.5,32,35,40,2,12.636,-8.635261224,7.585893068
1,30,1,2,2,1.5,29.5,32,35,40,2,16.53,-7.752881434,7.619147212
1,30,1,2,2,3,29.5,32,35,40,1.3,15.696,-7.985000279,7.771032627
1,30,1,2,2,2.5,29.5,32,35,40,1.3,16.032,-7.890210619,8.303194832
1,30,1,2,2,2,29.5,32,35,40,1.3,16.32,-7.735881712,8.627119695
1,30,1,2,2,1.5,29.5,32,35,40,1.3,17.406,-8.085818069,8.360458365
1,30,1,2,2,3,29.5,32,35,40,0.7,15.9,-8.024479597,8.613893804
1,30,1,2,2,2.5,29.5,32,35,40,0.7,16.194,-7.265191989,9.225213919
1,30,1,2,2,2,29.5,32,35,40,0.7,17.046,-7.921979796,9.015063244
1,30,1,2,2,1.5,29.5,32,35,40,0.7,17.61,-10.64864533,8.406898413
1,30,1,2,2,3,29.5,32,35,40,0.1,16.296,-9.220507926,8.309501486
