fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain,bandwidth
1,30,2.1,1.6,1,2.6,28,32,30,40,1.9,13.722,-34.42195804,7.303296291,0.621394941
1,30,2.1,1.6,1,2.4,28,32,30,40,1.9,13.722,-28.73111746,7.708344189,0.553156899
1,30,2.1,1.6,1,2.2,28,32,30,40,1.9,13.722,-24.61791832,7.976302243,0.492205058
1,30,2.1,1.6,1,2,28,32,30,40,1.9,13.74,-22.62335486,8.283805703,0.439371549
1,30,2.1,1.6,1,1.8,28,32,30,40,1.9,13.746,-21.51946293,8.378665533,0.393547818
1,30,2.1,1.6,1,1.6,28,32,30,40,1.9,13.77,-22.56106553,8.388184578,0.359336269
1,30,2.1,1.6,1,1.4,28,32,30,40,1.9,13.776,-23.19040859,8.384825231,0.322183267
1,30,2.1,1.6,1,1.2,28,32,30,40,1.9,13.806,-28.01361117,8.222374597,0.299591691
1,30,2.1,1.6,1,1,28,32,30,40,1.9,12.402,-49.82598509,9.198115151,0.24376086
1,30,2.1,1.6,1,3.2,28,32,30,40,1.7,13.776,-34.61153149,7.102682526,0.773337039
1,30,2.1,1.6,1,3,28,32,30,40,1.7,13.746,-41.5995092,7.235317289,0.706788476
1,30,2.1,1.6,1,2.8,28,32,30,40,1.7,13.716,-33.95856905,7.204896702,0.631869524
1,30,2.1,1.6,1,2.6,28,32,30,40,1.7,13.716,-29.17702345,7.647229145,0.572835674
1,30,2.1,1.6,1,2.4,28,32,30,40,1.7,13.722,-25.337824,8.00343149,0.516669021
1,30,2.1,1.6,1,2.2,28,32,30,40,1.7,13.734,-22.70194532,8.276928371,0.455046151
1,30,2.1,1.6,1,2,28,32,30,40,1.7,13.752,-21.78139699,8.459679705,0.412583605
1,30,2.1,1.6,1,1.8,28,32,30,40,1.7,13.758,-21.20466871,8.476273918,0.374037172
1,30,2.1,1.6,1,1.6,28,32,30,40,1.7,13.782,-22.81034121,8.491310147,0.348006608
